"plant_id","plant_name","operator_name","operator_id","plant_state","aer_fuel_type_code","net_gen_kwh"
"1082","Walter Scott Jr Energy Center","MidAmerican Energy Co","12341","IA","DFO",36.0590000000000000
"1082","Walter Scott Jr Energy Center","MidAmerican Energy Co","12341","IA","NG",4.5910000000000000
"1082","Walter Scott Jr Energy Center","MidAmerican Energy Co","12341","IA","COL",4912.6510000000000000
"1082","Walter Scott Jr Energy Center","MidAmerican Energy Co","12341","IA","COL",0E-20
"1084","River Hills","MidAmerican Energy Co","12341","IA","NG",-0.59000000000000000000
"1091","George Neal North","MidAmerican Energy Co","12341","IA","NG",17.0880000000000000
"1091","George Neal North","MidAmerican Energy Co","12341","IA","COL",839.8610000000000000
"1091","George Neal North","MidAmerican Energy Co","12341","IA","COL",2.4590000000000000
"1097","Merl Parr","MidAmerican Energy Co","12341","IA","DFO",0E-20
"1097","Merl Parr","MidAmerican Energy Co","12341","IA","NG",0.05100000000000000000
"1104","Burlington (IA)","Interstate Power and Light Co","9417","IA","NG",1.0380000000000000
"1104","Burlington (IA)","Interstate Power and Light Co","9417","IA","DFO",0E-20
"1104","Burlington (IA)","Interstate Power and Light Co","9417","IA","NG",2.8480000000000000
"1104","Burlington (IA)","Interstate Power and Light Co","9417","IA","COL",1125.7770000000000000
"1109","Keokuk","Union Electric Co - (MO)","19436","IA","HYC",1009.4590000000000000
"1120","Algona","City of Algona - (IA)","309","IA","DFO",0.11000000000000000000
"1120","Algona","City of Algona - (IA)","309","IA","NG",0.00600000000000000000
"1158","Lenox","City of Lenox - (IA)","10908","IA","DFO",0.85400000000000000000
"1172","Osage (IA)","City of Osage - (IA)","14201","IA","DFO",-0.01500000000000000000
"1172","Osage (IA)","City of Osage - (IA)","14201","IA","NG",-0.01600000000000000000
"1172","Osage (IA)","City of Osage - (IA)","14201","IA","SUN",0.98400000000000000000
"1172","Osage (IA)","City of Osage - (IA)","14201","IA","WND",4.3730000000000000
"1190","Stuart (IA)","City of Stuart - (IA)","18231","IA","DFO",0.00200000000000000000
"1190","Stuart (IA)","City of Stuart - (IA)","18231","IA","NG",0E-20
"1239","Riverton","Empire District Electric Co","5860","KS","NG",510.2580000000000000
"1239","Riverton","Empire District Electric Co","5860","KS","NG",962.3100000000000000
"1239","Riverton","Empire District Electric Co","5860","KS","DFO",0.01400000000000000000
"1239","Riverton","Empire District Electric Co","5860","KS","NG",2.3710000000000000
"1241","La Cygne","Evergy Metro","10000","KS","COL",75.2620000000000000
"1241","La Cygne","Evergy Metro","10000","KS","DFO",27.9240000000000000
"1241","La Cygne","Evergy Metro","10000","KS","COL",5929.4730000000000000
"1248","Hutchinson Energy Center","Evergy Kansas Central, Inc","22500","KS","DFO",0.13900000000000000000
"1248","Hutchinson Energy Center","Evergy Kansas Central, Inc","22500","KS","NG",4.7350000000000000
"1248","Hutchinson Energy Center","Evergy Kansas Central, Inc","22500","KS","DFO",0.00800000000000000000
"1250","Lawrence Energy Center","Evergy Kansas Central, Inc","22500","KS","NG",123.7440000000000000
"1250","Lawrence Energy Center","Evergy Kansas Central, Inc","22500","KS","COL",1810.0130000000000000
"1378","Paradise","Tennessee Valley Authority","18642","KY","COL",0E-20
"1378","Paradise","Tennessee Valley Authority","18642","KY","DFO",0.14500000000000000000
"1378","Paradise","Tennessee Valley Authority","18642","KY","COL",456.4740000000000000
"1377","Kentucky Dam","Tennessee Valley Authority","18642","KY","HYC",1091.1830000000000000
"1378","Paradise","Tennessee Valley Authority","18642","KY","NG",2580.7120000000000000
"1378","Paradise","Tennessee Valley Authority","18642","KY","COL",0E-20
"1378","Paradise","Tennessee Valley Authority","18642","KY","DFO",0E-20
"1378","Paradise","Tennessee Valley Authority","18642","KY","NG",4327.8400000000000000
"1378","Paradise","Tennessee Valley Authority","18642","KY","COL",0E-20
"1378","Paradise","Tennessee Valley Authority","18642","KY","COL",0E-20
"1378","Paradise","Tennessee Valley Authority","18642","KY","COL",-0.01400000000000000000
