City,State,Wind Speed,Date
DAYTONA BEACH,FL,7.5,2/1/2022
FORT MYERS,FL,7.6,2/1/2022
GAINESVILLE,FL,6.8,2/1/2022
JACKSONVILLE,FL,7.3,2/1/2022
KEY WEST,FL,10.6,2/1/2022
MIAMI,FL,8.8,2/1/2022
ORLANDO,FL,8.4,2/1/2022
PENSACOLA,FL,8.9,2/1/2022
TALLAHASSEE,FL,6.1,2/1/2022
TAMPA,FL,7.4,2/1/2022
VERO BEACH,FL,8.7,2/1/2022
WEST PALM BEACH,FL,10,2/1/2022
ATHENS,GA,7.2,2/1/2022
ATLANTA,GA,9.5,2/1/2022
AUGUSTA,GA,6.5,2/1/2022
COLUMBUS,GA,6.8,2/1/2022
MACON,GA,6.9,2/1/2022
SAVANNAH,GA,7.7,2/1/2022
HILO,HI,7.2,2/1/2022
HONOLULU,HI,9.1,2/1/2022
KAHULUI,HI,11.2,2/1/2022
LIHUE,HI,12.4,2/1/2022
BOISE,ID,7.7,2/1/2022
LEWISTON,ID,5.8,2/1/2022
POCATELLO,ID,9.8,2/1/2022
CHICAGO,IL,10.9,2/1/2022
MOLINE,IL,9.5,2/1/2022
PEORIA,IL,9.2,2/1/2022
ROCKFORD,IL,10.1,2/1/2022
SPRINGFIELD,IL,10.7,2/1/2022
EVANSVILLE,IN,8.2,2/1/2022
FORT WAYNE,IN,10.5,2/1/2022
INDIANAPOLIS,IN,10.8,2/1/2022
SOUTH BEND,IN,10.4,2/1/2022
DES MOINES,IA,10.4,2/1/2022
DUBUQUE,IA,11.4,2/1/2022
SIOUX CITY,IA,11.1,2/1/2022
WATERLOO,IA,10.6,2/1/2022
CONCORDIA,KS,11.1,2/1/2022
DODGE CITY,KS,13,2/1/2022
GOODLAND,KS,12.4,2/1/2022
TOPEKA,KS,8.5,2/1/2022
WICHITA,KS,11.6,2/1/2022
JACKSON,KY,6.2,2/1/2022
LEXINGTON,KY,9.3,2/1/2022
LOUISVILLE,KY,9,2/1/2022
PADUCAH,KY,8.4,2/1/2022
BATON ROUGE,LA,7.7,2/1/2022
LAKE CHARLES,LA,9.1,2/1/2022
NEW ORLEANS,LA,9.4,2/1/2022
SHREVEPORT,LA,8.5,2/1/2022
CARIBOU,ME,8.5,2/1/2022
PORTLAND,ME,8.5,2/1/2022
BALTIMORE,MD,8.2,2/1/2022
BOSTON,MA,12.6,2/1/2022
WORCESTER,MA,11.5,2/1/2022
ALPENA,MI,8.4,2/1/2022
DETROIT,MI,10.5,2/1/2022
FLINT,MI,10.2,2/1/2022
GRAND RAPIDS,MI,10.6,2/1/2022
HOUGHTON LAKE,MI,8.5,2/1/2022
LANSING,MI,10.2,2/1/2022
MUSKEGON,MI,10.9,2/1/2022
DULUTH,MN,10.5,2/1/2022
INTERNATIONAL FALLS,MN,7.9,2/1/2022
ROCHESTER,MN,13.2,2/1/2022
SAINT CLOUD,MN,8.5,2/1/2022
JACKSON,MS,7.5,2/1/2022
MERIDIAN,MS,7.3,2/1/2022
TUPELO,MS,7.9,2/1/2022
COLUMBIA,MO,10.5,2/1/2022
KANSAS CITY,MO,10.9,2/1/2022
SPRINGFIELD,MO,10.3,2/1/2022
BILLINGS,MT,11.9,2/1/2022
GLASGOW,MT,9.5,2/1/2022
GREAT FALLS,MT,12.2,2/1/2022
HAVRE,MT,9.3,2/1/2022
HELENA,MT,6.4,2/1/2022
KALISPELL,MT,5,2/1/2022
MISSOULA,MT,4.9,2/1/2022
GRAND ISLAND,NE,11.6,2/1/2022
LINCOLN,NE,9.8,2/1/2022
NORFOLK,NE,11.2,2/1/2022
NORTH PLATTE,NE,9.2,2/1/2022
OMAHA,NE,10.5,2/1/2022
SCOTTSBLUFF,NE,10.4,2/1/2022
VALENTINE,NE,9.6,2/1/2022
ELKO,NV,5.5,2/1/2022
ELY,NV,9.3,2/1/2022
LAS VEGAS,NV,7.7,2/1/2022
RENO,NV,5.8,2/1/2022
WINNEMUCCA,NV,7.9,2/1/2022
CONCORD,NH,7.1,2/1/2022
ATLANTIC CITY,NJ,10,2/1/2022
NEWARK,NJ,10.9,2/1/2022
ALBUQUERQUE,NM,8.3,2/1/2022
CLAYTON,NM,12.5,2/1/2022
ROSWELL,NM,8.7,2/1/2022
ALBANY,NY,9,2/1/2022
BINGHAMTON,NY,9.9,2/1/2022
BUFFALO,NY,11.8,2/1/2022
ISLIP,NY,10.2,2/1/2022
NEW YORK JFK AP,NY,12.6,2/1/2022
ROCHESTER,NY,10.4,2/1/2022
SYRACUSE,NY,9.6,2/1/2022
ASHEVILLE,NC,8.4,2/1/2022
CAPE HATTERAS,NC,10.1,2/1/2022
CHARLOTTE,NC,7.1,2/1/2022
RALEIGH,NC,7.2,2/1/2022
WILMINGTON,NC,8.4,2/1/2022
BISMARCK,ND,9,2/1/2022
FARGO,ND,11.5,2/1/2022
GRAND FORKS,ND,10.7,2/1/2022
WILLISTON,ND,8.7,2/1/2022
AKRON,OH,10.5,2/1/2022
CINCINNATI,OH,9.7,2/1/2022
CLEVELAND,OH,10.7,2/1/2022
COLUMBUS,OH,8.9,2/1/2022
DAYTON,OH,10.8,2/1/2022
MANSFIELD,OH,11,2/1/2022
TOLEDO,OH,10,2/1/2022
YOUNGSTOWN,OH,9.8,2/1/2022
OKLAHOMA CITY,OK,12.2,2/1/2022
TULSA,OK,9.7,2/1/2022
ASTORIA,OR,8.1,2/1/2022
BURNS,OR,6.2,2/1/2022
EUGENE,OR,7.1,2/1/2022
MEDFORD,OR,3.8,2/1/2022
PENDLETON,OR,7.4,2/1/2022
PORTLAND,OR,8.5,2/1/2022
SALEM,OR,6.9,2/1/2022
SEXTON SUMMIT,OR,9.8,2/1/2022
ALLENTOWN,PA,8.6,2/1/2022
ERIE,PA,10.9,2/1/2022
PHILADELPHIA,PA,10.3,2/1/2022
PITTSBURGH,PA,9.1,2/1/2022
AVOCA,PA,7.9,2/1/2022
WILLIAMSPORT,PA,7.7,2/1/2022
PROVIDENCE,RI,10,2/1/2022
CHARLESTON,SC,8.6,2/1/2022
COLUMBIA,SC,6.9,2/1/2022
ABERDEEN,SD,10.7,2/1/2022
HURON,SD,10.6,2/1/2022
RAPID CITY,SD,10.8,2/1/2022
SIOUX FALLS,SD,10.4,2/1/2022
CHATTANOOGA,TN,6.2,2/1/2022
KNOXVILLE,TN,7.1,2/1/2022
MEMPHIS,TN,9.4,2/1/2022
NASHVILLE,TN,8.3,2/1/2022
ABILENE,TX,11.4,2/1/2022
AMARILLO,TX,12.9,2/1/2022
AUSTIN,TX,7.2,2/1/2022
BROWNSVILLE,TX,11.3,2/1/2022
CORPUS CHRISTI,TX,12.8,2/1/2022
DALLAS,TX,10,2/1/2022
DEL RIO,TX,8.2,2/1/2022
EL PASO,TX,8.5,2/1/2022
GALVESTON,TX,11.8,2/1/2022
HOUSTON,TX,8.4,2/1/2022
LUBBOCK,TX,12.4,2/1/2022
PORT ARTHUR,TX,10.1,2/1/2022
SAN ANGELO,TX,10.3,2/1/2022
SAN ANTONIO,TX,8.1,2/1/2022
VICTORIA,TX,10.3,2/1/2022
WACO,TX,10.6,2/1/2022
WICHITA FALLS,TX,11.5,2/1/2022
SALT LAKE CITY,UT,7.7,2/1/2022
BURLINGTON,VT,8.6,2/1/2022
LYNCHBURG,VA,6.5,2/1/2022
NORFOLK,VA,10.3,2/1/2022
RICHMOND,VA,8.5,2/1/2022
ROANOKE,VA,8,2/1/2022
WALLOPS ISLAND,VA,9.7,2/1/2022
OLYMPIA,WA,5.9,2/1/2022
QUILLAYUTE,WA,6.2,2/1/2022
SEATTLE,WA,8.5,2/1/2022
SPOKANE,WA,8.5,2/1/2022
WALLA WALLA,WA,7.6,2/1/2022
YAKIMA,WA,5.5,2/1/2022
BECKLEY,WV,8.5,2/1/2022
CHARLESTON,WV,5.7,2/1/2022
ELKINS,WV,6.1,2/1/2022
HUNTINGTON,WV,6.9,2/1/2022
GREEN BAY,WI,9.6,2/1/2022
LA CROSSE,WI,8.6,2/1/2022
MADISON,WI,8.7,2/1/2022
MILWAUKEE,WI,10.8,2/1/2022
CASPER,WY,13.9,2/1/2022
